what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1736642181493
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1736642182623
activated,view,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.internal.introview",1736642182721
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1736642182725
closed,view,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.internal.introview",1736642182767
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1736642200183
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1736642204184
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1736642222275
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1736642222285
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1736642222381
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1736642222615
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1736642262870
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1736642342159
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1736642347506
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1736642348782
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1736642348787
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1736642349235
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1736642358354
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1736642362328
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1736642363649
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1736642370102
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1736642371210
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1736642371289
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1736642380774
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1736642381816
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1736642384893
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1736642389942
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1736642393072
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1736642394871
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1736642396731
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1736642400053
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1736642404505
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1736642406017
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1736642406911
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1736642419568
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1736642420930
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1736642426067
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1736642426758
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1736642444573
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1736642446813
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1736642449932
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1736642503628
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1736642503675
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1736642507146
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1736642567037
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1736642575635
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1736642577950
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1736642597584
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1736642599155
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1736642607599
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1736642610100
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1736642610565
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1736642613978
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1736642617172
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1736642618697
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1736642618798
